stop_id,stop_name,stop_lat,stop_lon,location_type,x_m,y_m
tiny.fits.unfocused,Obour Sporting Club,30.2352096129397,31.4581397465466,0,351634.19303446636,3345854.342579783
masses.unloads.partners,Obour Sporting Club,30.2342667491473,31.4583250309302,0,351650.60798775265,3345749.60144124
cartoons.create.cluttered,Ahmed Oraby Square - Obour,30.2253825726041,31.4575936408268,0,351566.8720570154,3344765.9051479627
urge.madder.frail,Ahmed Oraby Square - Obour,30.2235183709485,31.4583837977043,0,351640.1226320177,3344558.2616938436
formal.cans.homecare,Gamaa Street - Obour,30.210898428954,31.4574941458223,0,351535.53954533197,3343160.7320054835
incisions.exile.gravitate,Ain Shams University - Obour,30.2044769942713,31.457490880035,0,351525.582623499,3342449.0384919564
protrude.rocks.crawled,Al Tawheed Wal Nour - Obour,30.1990559547413,31.4578106256772,0,351548.2262784112,3341847.799690002
sharpened.promotion.handyman,Habitat - Obour,30.18923,31.46596,0,352318.1140985609,3340748.1811659914
massaged.librarian.imposes,Habitat - Obour,30.1889822009291,31.4659411661932,0,352315.9309012544,3340720.741749082
deferring.branched.sweetener,Amoun Fountain - Obour,30.1872507959193,31.4669895154158,0,352414.28526593285,3340527.489512123
cultivation.novelists.seasick,Amoun Fountain - Obour,30.186313281175,31.4685416996474,0,352562.33778742666,3340421.573731114
passenger.generals.pokers,Fiat Service Center - Obour,30.1790956575772,31.4719537505307,0,352880.13570831995,3339617.227169355
