Route_Code,Vehicle_Type,Route_Length_km,Vehicle_Capacity
YOUm7rdzNVY6LFG9JKpHr,Microbus,16.8071967546915,14
QeibrVPEcAQDuGbYNqK3W,Microbus,2.41733249908048,14
CTA_828,Bus,18.3059462848191,49
P_O_14_IC004,Microbus,22.5505619684532,14
CTA_1162,Bus,31.6820279873928,49
CTA_1162,Bus,30.6827147439391,49
zhdTDeTPdK8yAT1I8NTLw,Bus,13.0657311894835,49
CTA_1147,Bus,46.2158509286861,49
CTA_83,Bus,21.1075476590625,49
67VWfBwz-LVqC7OxaN5Cj,Microbus,6.31481429441167,14
deuSL4GElipbqZ1Ys9lLE,Bus,14.0502112776768,49
fKnTlCkWALIgjxXU63NNV,Microbus,7.78390576103275,14
vvE6l7VzFeki_7IJpH25B,Bus,15.1910694661401,49
eNaYFATGV4nFM2ODEQGb5,Microbus,7.93950203061014,14
GXDzdgrpKw9Tm5MLKMFPP,Microbus,6.71480756581343,14
CTA_580,Bus,16.5024339355318,49
COOP_IG069,Minibus,12.1218479894722,33
dOSjy2LRc3erAam81oIco,Microbus,9.66131733167973,14
3waGFbKHjbGyHsGw8XnY4,Microbus,27.0346418965912,14
MM_111,Bus,21.3615515614454,49
P_O_14_CA086,Microbus,12.6749077857246,14
a4gnGzOuEjFFXiOYfTYg9,Bus,19.3362753622654,49
Sw7KMUZPTGb_ZDHt4D-yr,Minibus,17.6414602642913,33
7K3l-wUpwMqCltVD6bzOd,Minibus,9.49604476560965,33
P_O_14_CA089,Microbus,9.94199742637627,14
P_O_14_CA031,Microbus,3.36975872294349,14
VjYEpD99WGuBFvH5Dw-gV,Bus,15.7771373207321,49
rumnfrVLyA8ZA3JpTI5Ef,Bus,18.0006172685538,49
9HZEMuRNsQzN9flynqhET,Microbus,6.65348569397234,14
AsoLzlPVywndjqDIeorpb,Microbus,16.2704265521945,14
mVQ0zufyJ93lZbi9DOTdP,Microbus,12.2999129639949,14
czcD_GDbPM3RYT-b_E4GE,Microbus,3.22027309227216,14
X7OUnQkaUhlNHC3RmAKjb,Microbus,11.3447394870173,14
KZbzaf9cmgAB7KuFCo1MM,Minibus,25.5312440653894,33
8TSoqsVo41bExi7Jg16qQ,Microbus,7.51838250492178,14
RNWAMpjdKYvRHnfD_wR27,Bus,11.7252822179551,49
