H3_Hex_ID,Population_2018,Jobs_In_Hex,Boarding_Total_Hex,Underserved_Score
883e628431fffff,969,794,0.0,0.0
883e628439fffff,969,1137,0.0,0.0
883e62843bfffff,969,1040,0.0,0.0
883e62843dfffff,969,1106,3114.0,0.0
883e628441fffff,20640,4915,0.0,0.5121311475409837
883e628443fffff,19968,5058,549.0,0.11344262295081975
883e628445fffff,20433,4959,0.0,0.5101639344262295
883e628447fffff,19470,5052,807.0,0.09114754098360656
883e628449fffff,26134,3310,6908.0,0.0
883e62844bfffff,20571,4930,0.0,0.5114754098360655
883e62844dfffff,25217,3330,0.0,0.5291803278688525
883e628451fffff,11691,4039,4596.547233145495,0.0
883e628453fffff,2129,1770,0.0,0.07540983606557378
883e628455fffff,7545,3369,1530.0,0.0
883e628457fffff,969,1137,0.0,0.0
883e628459fffff,19968,5058,8554.0,0.0
883e62845bfffff,17352,5023,0.0,0.4839344262295082
883e62845dfffff,19968,5058,0.0,0.5075409836065574
883e628461fffff,27503,7470,6940.0,0.0
883e628463fffff,7694,4733,786.0,0.0
883e628465fffff,12068,6018,1064.0,0.0
883e628467fffff,10423,5793,4158.0,0.0
883e628469fffff,49327,8771,0.0,0.6118032786885246
883e62846bfffff,18047,5218,7334.0,0.0
883e62846dfffff,80854,13635,16092.0,0.04065573770491804
883e6284a3fffff,199,474,0.0,0.0
883e6284a7fffff,199,474,0.0,0.0
883e6284adfffff,4099,919,0.0,0.19475409836065571
883e6284b5fffff,2041,1991,11172.0,0.0
883e6284b7fffff,2242,852,2297.0,0.0
883e6284c7fffff,969,755,0.0,0.0
883e6284c9fffff,969,447,0.0,0.0
883e6284cbfffff,969,792,0.0,0.0
883e628501fffff,8645,12899,3148.0,0.0
883e628503fffff,8488,8240,1705.0,0.0
883e628505fffff,11165,9745,2959.0,0.0
883e628507fffff,8681,7312,0.0,0.36918032786885246
883e628509fffff,15992,15384,10878.0,0.0
883e62850bfffff,10300,9905,16818.0,0.0
883e62850dfffff,10322,12715,33581.0,0.0
883e628511fffff,6713,6784,0.0,0.319016393442623
883e628513fffff,3902,2876,2202.0,0.0
883e628515fffff,6138,7589,1589.0,0.0
883e628517fffff,5554,6943,3714.092524384774,0.0
883e628519fffff,1568,1708,3234.0,0.0
883e62851bfffff,969,1137,0.0,0.0
883e62851dfffff,9790,9555,3674.0,0.0
883e628521fffff,4424,1987,424.0,0.0
883e628523fffff,1893,4173,3945.0,0.0
883e628525fffff,3835,2635,8489.0,0.0
883e628527fffff,720,2027,6176.0,0.0
883e628529fffff,9648,7088,0.0,0.3888524590163934
883e62852bfffff,12369,7077,0.0,0.4334426229508197
883e62852dfffff,4253,3348,4659.0,0.0
883e628531fffff,15912,15856,32588.33620304491,0.0
883e628533fffff,22131,15629,6254.0,0.0
883e628535fffff,10143,14960,7084.0,0.0
883e628537fffff,16204,15711,0.0,0.47606557377049186
883e628539fffff,8007,7227,12436.0,0.0
883e62853bfffff,11839,10525,26046.579686078072,0.0
883e62853dfffff,9995,9954,4134.228039147461,0.0
