Terminal_ID,Terminal_Name,Vehicles_At_Terminal,Passengers_At_Terminal,Pax_Per_Vehicle_Ratio,Veh_Segments_Count,Pax_Segments_Count,Empty_Return_Index,Veh_log,Pax_log,Empty_Severity
187,Bahtim Square,69.0,2337.0,33.869565217391305,2,4,0.0,4.248495242049359,7.757051142032013,0.0
188,Qawmeya Arabeya,5.0,0.0,0.0,1,0,1.0,1.791759469228055,0.0,1.791759469228055
189,Mazallat,0.0,0.0,,0,0,,0.0,0.0,
190,Rabaah Al Adaweya Mosque,889.0,12469.427915329628,14.026353110607007,17,16,0.0,6.7912214627261855,9.431115353669087,0.0
191,Awwel Abbas,498.0,5562.007861614212,11.1686904851691,12,18,0.0,6.212606095751519,8.623894223271169,0.0
192,Salam Alexandria,0.0,0.0,,0,0,,0.0,0.0,
194,Jazirat Mohamed,0.0,190.13047788678597,,0,1,,0.0,5.252956325116648,
195,Awsim,0.0,0.0,,0,0,,0.0,0.0,
196,Athar Al Naby,123.0,2488.0,20.227642276422763,5,12,0.0,4.820281565605037,7.819636302367592,0.0
197,Tibeen,0.0,0.0,,0,0,,0.0,0.0,
198,Saft Al Laban,140.0,944.0,6.742857142857143,8,8,0.0,4.948759890378168,6.851184927493743,0.0
199,Mazlaqan Al Deweqa,417.0,2838.0,6.805755395683454,8,4,0.0,6.035481432524756,7.951207156472972,0.0
200,Abu Al Houl St,4.0,48.0,12.0,2,2,0.0,1.6094379124341003,3.8918202981106265,0.0
201,Al Sawah Square,208.0,3686.198493474669,17.72210814170514,4,8,0.0,5.342334251964811,8.212622232823731,0.0
