Stop_Name,Morning_Formal_BA,Morning_Informal_BA,Daily_Formal_BA,Daily_Informal_BA,Morning_All_BA,Daily_All_BA,geometry,Formal_Share_Morning,Formal_Share_Daily,Formal_Percentage_Morning,Formal_Percentage_Daily,Dominant_Morning,Dominant_Daily,Dominance_Shifted
Al Andalous Specialized Hospital (7th District Nasr City),549.0,295.0,621.0,295.0,844.0,916.0,POINT (338962.05738780287 3324449.478908053),0.6504739336492891,0.6779475982532751,0.6504739336492891,0.6779475982532751,Formal,Formal,False
Al Areesh (Haram St.),689.0,1855.0,1685.0,2323.0,2544.0,4008.0,POINT (322521.5659996782 3319519.8587864977),0.2708333333333333,0.4204091816367265,0.2708333333333333,0.4204091816367265,Informal,Informal,False
Al Atraby Basha Abu Al Ezz St. & Gesr Al Suez St.,433.0,743.0,633.0,931.0,1176.0,1564.0,POINT (339754.24013154523 3332842.6202900326),0.3681972789115646,0.4047314578005115,0.3681972789115646,0.4047314578005115,Informal,Informal,False
Al Azhar Park Gate,272.0,0.0,272.0,0.0,272.0,272.0,POINT (332857.39804737107 3324489.8040362108),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Azhar Pedestrian Bridge,2379.0,388.0,3335.0,560.0,2767.0,3895.0,POINT (336852.13643275324 3326727.0843486534),0.8597759306107697,0.8562259306803595,0.8597759306107697,0.8562259306803595,Formal,Formal,False
Al Azhar University Hospital ( Nasr City ),558.0,0.0,1274.0,0.0,558.0,1274.0,,1.0,1.0,1.0,1.0,Formal,Formal,False
Al Azhar University Northen Gate,271.0,156.0,595.0,156.0,427.0,751.0,POINT (337214.66348271223 3326937.3677839977),0.6346604215456675,0.7922769640479361,0.6346604215456675,0.7922769640479361,Formal,Formal,False
Al Azhar University Southern Gate,242.0,0.0,590.0,0.0,242.0,590.0,POINT (338091.8891083924 3325626.5410899576),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Aziz Bellah (Gesr Al Suez),157.0,800.0,261.0,1272.0,957.0,1533.0,POINT (337708.51303500164 3331023.4326535976),0.16405433646812956,0.17025440313111545,0.16405433646812956,0.17025440313111545,Informal,Informal,False
Al Aziz Bellah St. &  Selim Al Awwal St.,1012.0,0.0,1636.0,0.0,1012.0,1636.0,POINT (337191.00382302416 3331347.159541012),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Azizeya Bridge,0.0,953.0,0.0,1457.0,953.0,1457.0,POINT (330660.9541971575 3306670.8081957498),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Badrasheen City Council,0.0,756.0,0.0,828.0,756.0,828.0,POINT (333619.6957538641 3303441.05189771),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Bahr Al Aazam St. Exit End,69.0,397.0,109.0,1169.0,466.0,1278.0,POINT (327837.50373921276 3318907.673174806),0.148068669527897,0.08528951486697965,0.148068669527897,0.08528951486697965,Informal,Informal,False
Al Bahr Al Aazam St. Exit Start,0.0,1258.0,48.0,2758.0,1258.0,2806.0,POINT (328123.53558177 3318694.030534884),0.0,0.017106200997861726,0.0,0.017106200997861726,Informal,Informal,False
Al Baloun Theatre (Al Agouza),1396.0,140.0,2532.0,556.0,1536.0,3088.0,POINT (327941.609766676 3326662.7316357484),0.9088541666666666,0.8199481865284974,0.9088541666666666,0.8199481865284974,Formal,Formal,False
Al Banat Mosque,17889.0,1904.0,15964.860044047848,3192.0,19793.0,20675.924629531368,POINT (331670.1476472587 3325230.994627907),0.9038043752841913,0.772147332228387,0.9038043752841913,0.772147332228387,Formal,Formal,False
Al Banhawi,2775.0,3288.0,5027.0,5948.0,6063.0,10975.0,POINT (332309.0931908594 3326418.828985799),0.4576942107867392,0.45804100227790434,0.4576942107867392,0.45804100227790434,Informal,Informal,False
Al Barageel Entrance,0.0,55.0,92.0,55.0,55.0,147.0,POINT (322775.27865403634 3327331.3202818106),0.0,0.6258503401360545,0.0,0.6258503401360545,Informal,Formal,True
Al Barageel Steps (Ring Rd.),0.0,175.0,0.0,175.0,175.0,175.0,POINT (324495.07867870445 3328712.790983656),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Bassous,0.0,1732.0,0.0,3820.0,1732.0,3820.0,POINT (327819.07126754266 3334952.445095718),0.0,0.0,0.0,0.0,Informal,Informal,False
